,Depth(ft),TOC (wt%),Density(g/cm3),GR(API),R Ild(ohm),dt(ft)
0,7755.3273119,3.610742,,,,
1,7762.2889264,3.034525,2.49395331456251,99.1496182833135,22.8386693263212,85.0251603566135
2,7763.4730396,3.1654144,2.48753875188992,118.27181238122,24.1762508107898,84.5236860053918
3,7766.7673522,3.50421,2.51589697575336,149.019083844175,24.8371100864747,90.0398029426419
4,7778.4526458,3.374626,2.52303867197066,104.586941519629,25.7622426232554,85.6952624225892
5,7785.0898108,4.3445299,2.45723570578038,109.974934136988,25.7859660465677,84.0662135214287
6,7797.0382406,4.299588,2.49039302728991,91.1258540236669,28.5805776111783,76.9639583632596
7,7800.6097405,3.8076425,2.53049607680009,99.7621081663528,37.4979980407974,82.2745825288206
8,7804.1722989,4.26185,2.49181334095725,102.801520171341,35.7990545775865,83.8636646454136
9,7806.2147983,4.0620572,2.48982011297148,113.925605797105,25.5739759337195,83.5713894583353
10,7812.7651027,1.5088754,2.66976974705242,38.6086370578068,98.5942750611743,58.4924570336137
11,7816.9612319,1.2785317,2.63701184627851,42.8052244005412,107.405416893322,55.6389507537603
12,7822.1766947,1.686753,2.66311642028888,56.2950729540759,101.793356198409,61.056230266485
13,7828.3156891,2.1566064,2.75103306327226,63.0822673048358,119.70546292116,74.6929951806398
14,7833.3638177,2.5571184,2.53239728788181,105.005446850046,15.2655644002147,88.8589032652287
15,7836.0769313,2.8958552,2.49896728323125,103.363719741238,17.1732764873039,84.1148323783651
16,7840.1172225,3.2270342,2.51925066471584,102.136312080188,21.4188078615846,82.6755316365334
17,7841.979614,2.9426077,2.50124169293119,96.9881126945026,20.8284242738577,79.3024916695747
18,7845.349291,2.2352571,2.53904210373166,74.8073130510739,24.5866107374525,75.3850492418242
19,7847.1771938,1.7431349,2.57971497180661,73.6668057428475,24.1560524919799,75.8230652665621
20,7856.444444,1.5517671,2.6776175774291,77.8447612799217,14.8516148213245,74.0934255139737
21,7859.1831048,1.5443526,2.59036998524029,93.0280935824071,4.66007780781421,89.0829871225781
22,7868.1386791,1.4760301,2.57021068292915,88.0682491557013,5.39127037169986,78.4173053558717
23,7872.7039654,1.4688008,2.61931725546831,67.0790399910379,9.68191283997929,72.0115687393069
24,7878.5082914,1.4232357,2.63344203456928,87.7893555774249,5.73051220745736,79.5078900218871
25,7887.8841172,1.3857251,2.60428262965942,64.5187889390559,10.214875524469,70.7289417333155
26,7891.1158392,1.3475913,2.63325328727719,53.4625187990851,13.404272359547,64.1398825445148
27,7894.0231116,1.3555785,2.69715486064874,50.8707837294733,23.5744585262306,64.4398760242289
28,7895.2659834,1.34032,2.69680147053592,55.1197950595033,19.4276087502301,68.2735524214617
29,7900.0790776,1.3254235,2.62529118734892,52.5275533570759,14.4669986170215,65.613526543261
30,7901.4867289,1.3024894,2.6547720809042,56.3275102002676,15.4360252415497,66.4764592230186
31,7904.6366998,1.2720396,2.63650166138485,66.8984770383235,22.4994951051197,65.0689084657281
32,7913.1004903,1.2421288,2.7243548072134,32.1063233560004,159.27045665075,54.9173294216104
33,7914.924561,1.2269292,2.6996945878432,26.9236491353994,108.678671369187,52.9708062222431
34,7929.0240659,1.1360516,2.70380522187791,32.1023682526912,73.1341541001597,54.4605094526298
35,7935.5756477,1.0905622,2.70344969185288,26.6421672909868,117.52928725495,55.2422017630207
36,7945.1149757,1.0376836,2.70975778800982,29.2828472651457,94.7292038908593,54.644275612903
37,7980.7827121,0.8336089,2.65515412296066,42.4542166895638,33.6039845412521,61.1246200978628
38,7987.6664077,0.7881532,2.69655317559521,45.1991476993468,39.727508457255,61.8366947172434
39,8006.0693399,1.6130967,2.64777783416198,84.3205548991232,19.1576269200115,76.1468759472334
40,8009.1477787,1.6518705,2.59248960850764,86.0645616143515,17.0284497366335,75.689134048952
41,8022.0401779,4.2916396,2.45782272809196,108.949615780918,42.3261141226104,91.3471886573991
42,8027.3654937,4.3614105,2.40312624704681,105.856243053447,44.7868672991924,85.9257251906887
43,8066.558745,2.3884626,2.552039434205,91.1808725574724,8.86677522952059,70.5191521260829
44,8069.7457593,2.5810935,2.68829087868095,100.888148624096,14.9939089775227,78.6658952255046
45,8088.3671203,2.7214438,2.52257044465361,114.150176055604,6.48140592858087,88.6989213425739
46,8094.4703486,2.9759089,2.54742489763773,108.655460463053,10.1248610738104,83.4812294764852
47,8095.2686989,2.7836822,2.52698674530793,105.49416663751,11.2176708669111,79.4845993556018
48,8096.2484344,2.6837816,2.54917334918625,94.7321280028684,12.5056724481815,79.0519700478877
49,8097.5551741,2.5531449,2.59363924655023,99.5686702004005,11.8430461662228,82.3870337016745
50,8099.4418355,2.4148747,2.57430523917752,111.245407776989,8.05965931863923,94.5812200500612
51,8101.2646289,2.3919827,2.51400337872289,119.191044812841,5.96426430295803,92.7995506946854
52,8109.2800659,2.1620264,2.54428870270538,115.129633849712,6.98338810630255,88.4476947973331
53,8110.276407,2.1621275,2.53747572567925,112.555644360986,7.68607854371386,88.7024172433393
54,8113.4136043,2.0547533,2.53756661779774,118.56629012995,9.06297970464595,79.1056434584138
55,8117.3006123,1.9628399,2.68873190953371,117.770719436246,60.2559598094475,78.2771866729346
56,8124.9877676,1.7559273,2.53739500794179,120.912662068143,8.23227885565864,87.6523073232442
57,8137.9350933,2.2264712,2.60114544028039,110.959600420985,22.6433785427846,88.4400897310469
58,8139.8115358,2.0266615,2.56723947849173,138.476856449864,10.432617841882,88.0261795562422
59,8142.4646135,2.0038537,2.51155545095584,119.215549236396,14.920886604035,84.7413693618093
60,8146.8970543,2.1966109,2.54889525819781,101.974887723872,18.2004428066984,66.6207309147864
61,8150.2501256,2.3892587,2.65125365725606,127.798846738554,17.4610764551143,72.4485698765501
62,8161.0936386,2.6903585,2.5966401311584,145.877770222623,35.0783773926761,80.9931900277664
63,8174.6745351,3.9763514,2.45817890647038,119.623118786287,89.8068005202008,83.5323367559765
64,8182.2084071,4.3463463,2.46841324308571,124.96200903171,44.9001168139885,80.0646419076316
65,8216.8427589,3.4190898,2.55310607708486,129.932251152903,35.0479154731901,83.3596720329195
66,8226.2083659,3.3200397,2.52276202572392,100.799967269109,58.6263930366139,80.8586958694876
67,8233.8597551,3.3977389,2.50734968345442,116.892931432895,48.3306023113907,82.585671647351
68,8246.3804424,3.7990088,2.46784938589434,152.682315351189,96.0292059589187,81.0785504513652
69,8249.7641703,4.176275,2.49699751380294,147.521662101655,88.6574064584446,78.8513246406249
70,8255.1367484,4.0306661,2.51280016741858,113.538365963865,83.080982849353,77.8923899287535
71,8259.8923615,3.66961,2.54932793140128,129.269950549231,71.3572964156465,73.9563818701913
72,8269.4176385,3.5321146,2.58116959948779,131.462692966293,64.978357643301,82.0145705252164
73,8286.9979506,3.9031284,2.4977912282067,92.0560795823206,113.936839002818,79.9726854281752
74,8289.5565036,4.3110802,2.46924719371012,101.117762998546,143.765019228906,81.2852659464416
75,8306.1404746,4.681993,2.56703482787602,90.9471773903774,101.136452973823,73.5060535320309
76,8308.7552315,3.9284121,2.55247572559187,99.2066728745942,127.36859313836,78.3588023180787
77,8319.0354285,3.8371471,2.52062804622581,102.811117921185,108.690984637944,74.2563328545899
